"Parameter","Estimate (95%CI)","IIV (%CV)"
"Delta (/d)","0.961 (0.93, 0.993)","12.4"
"V0 (log10 cp/mL)","7.189 (7.081, 7.298)","74.7"
"Additive error","1.002","-"
"Beta_mol_on","1.766 (1.653, 1.888)","-"
"Beta_mol_off","0.422 (0.354, 0.502)","-"
"Beta_sex","1.248 (1.113, 1.398)","-"
"Beta_age","0.833 (0.492, 1.173)","-"
"Beta_ab","-1.109 (-1.563, -0.654)","-"
"Beta_sym","-0.87 (-1.113, -0.626)","-"
